"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"POSTN",2272.89045105947,2.5735847828845,0.642912468421295,4.00300959974236,6.25417634178057e-05,0.0114031955552061
"SGK1",6531.63339197803,-1.75369040371658,0.439869781024565,-3.98683992256028,6.69591695419219e-05,0.0119522097136021
"SP8",49.7487620618961,9.4554194812135,2.37348705587177,3.98376703080042,6.78313725635304e-05,0.0119522097136021
"ACMSD",14.3918384577128,7.66565595801272,1.92511884947487,3.98191309596483,6.83627774172654e-05,0.0119522097136021
"GLT8D2",268.054657576254,2.30276739520532,0.579405004031036,3.97436573585749,7.05670561607783e-05,0.0122117010758228
"EGLN3",2287.01638415276,-1.50235867733914,0.379186488912347,-3.96205751330561,7.43066342630648e-05,0.012728951620882
"TLE4",2434.58198304422,-1.51050183293479,0.381502739513682,-3.959347277192,7.5154886233374e-05,0.0127455171563179
"SERPINB13",11667.2611255931,-2.33324527874761,0.593095011038064,-3.93401602664614,8.35382094578391e-05,0.0140269751900544
"TMEM8A",820.95509895474,0.833828082774832,0.212766129730454,3.91898881570662,8.89212402713661e-05,0.0147844638604127
"ZFP36",4413.07728339382,-1.84376793524724,0.470958511228619,-3.91492645591495,9.04317682770496e-05,0.0148896345457329
"FAM129A",4180.75510521783,-1.61932665466998,0.414769135658011,-3.90416382381248,9.45517198616081e-05,0.0154182943955097
"AIM2",1835.32857086462,-2.34978565656285,0.603828369526315,-3.89147939240779,9.96348528245414e-05,0.0160924520862038
"PRSS12",4593.91527873834,-1.93833197727385,0.49840697943421,-3.889054642602,0.000100635460010121,0.0161007242104872
"EPB41L1",14006.5278827504,-1.66259706644251,0.430541773406313,-3.86163937888897,0.000112628729024187,0.0177481078659287
"SYK",2675.58839270369,-0.945355219012407,0.24486114925337,-3.86078078084246,0.000113025275636553,0.0177481078659287
"RARRES1",940.441381489819,2.5145069038398,0.651937698370038,3.85697423254787,0.000114799258681128,0.0178612901648921
"PPP1R15A",4631.8512420786,-1.69289742341114,0.439518799693663,-3.85170651310265,0.000117297551479099,0.0180840834139458
"BCOR",6859.28635839397,-1.03383567448093,0.268632151872021,-3.84851800976325,0.000118834561836544,0.0181559940016753
"NID2",1671.22753692267,2.01709210403472,0.525835453837177,3.83597585388242,0.000125066695956527,0.0189375544350602
"THY1",481.299724456801,2.3693799939332,0.61841781203279,3.83135793929488,0.000127437948642374,0.0191258422214692
"MAGI3",5540.89209369036,-1.8901873802049,0.494254556127154,-3.82431958749333,0.000131133727541442,0.0195078674155729
"COL5A2",17571.6766799003,2.1225747495165,0.557049699551693,3.81038666967189,0.000138749607057542,0.0204613442268596
"PAX9",900.868101655701,-2.06551796619097,0.545912883784279,-3.78360362531244,0.000154573924597864,0.0224052921987621
"APOBEC3B",2716.01170250697,-2.25833099280618,0.596556159199676,-3.78561340450477,0.000153329889478943,0.0224052921987621
"ZNF326",3041.27332517974,-0.92914131956685,0.246101529854919,-3.77543902353875,0.000159726094966996,0.0229558885130956
"ALG1L",1903.17671889107,-2.04444967456717,0.542252981923214,-3.77028756451667,0.0001630595516954,0.0232380414890949
"CYP4X1",1197.19942146148,-2.78291206129412,0.741526711090404,-3.75294917859654,0.000174766296166161,0.0246713643315297
"ITPKC",5987.5772339381,-1.7795602858278,0.474404151160924,-3.75114821713302,0.000176026598509057,0.0246713643315297
"HAS3",1096.11464987336,-2.05995494782507,0.550005759971542,-3.74533340874767,0.000180154361238854,0.0248393318069083
"GOLGA6L9",19013.5391638405,-1.25983536898405,0.336255359137434,-3.74666257280119,0.000179202880061317,0.0248393318069083
"PKN1",1531.51097882978,1.63221408446661,0.436612551525226,3.73835813644104,0.000185225963308973,0.0253326379980394
"APOL2",2051.77349099076,-1.54495135103273,0.414242849928435,-3.72957879972976,0.000191800118555471,0.0260219056846579
"CLMP",273.436508598994,3.13152790682956,0.842403988182216,3.71737070427092,0.000201306953328523,0.0270949573134795
"EGR1",10461.1539645538,-2.12492889862614,0.572651045167337,-3.71068719171761,0.000206697387355056,0.027598789514276
"KRT13",263175.387379745,-3.92699355015088,1.05941565420302,-3.70675431741196,0.000209932416259308,0.027598789514276
"POTEI",38.5828423990019,9.08880662684263,2.45140410239108,3.70759215829715,0.000209239280556541,0.027598789514276
"MTHFD1L",4503.1277501299,1.78543126428412,0.483092454305176,3.69583761529058,0.000219163024939044,0.0283572298662021
"REN",83.5944839396393,-7.01769037069332,1.89916288651179,-3.69514927894509,0.00021975763501732,0.0283572298662021
"COL8A1",357.804504606248,2.24182478301109,0.606875927628153,3.69404136982792,0.000220717869116026,0.0283572298662021
"APOBEC3B-AS1",80.6575245172026,-5.13516221005223,1.39458077847989,-3.68222643628403,0.00023120591023367,0.0294813611402466
"LGALS9C",1006.04377381812,-4.98717261292311,1.35654260221503,-3.67638480706748,0.000236562601894336,0.0299392922800451
"TMEM55A",267.95016738992,1.73442623676849,0.472343224362887,3.67196171620317,0.000240695745493219,0.0302367344282926
"ASS1",27013.6105505334,-1.85649706058417,0.506122788594723,-3.66807640837282,0.000244382158965484,0.0304740958374679
"TMEM181",2278.07805320589,1.26714990651097,0.346128104496866,3.66092752957149,0.000251303839452494,0.0305369594016738
"RTN4RL2",11.6185295145688,7.35906872727089,2.01057261929545,3.66018548976842,0.000252032734763391,0.0305369594016738
"SLC39A14",832.984231686026,2.36622534458954,0.646486963625927,3.66012847547332,0.000252088821052794,0.0305369594016738
"ARMC10",1267.24742721018,0.73133123993642,0.199739975744545,3.66141648515943,0.000250824626306664,0.0305369594016738
